stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STP-0609,0609,LA MARIGARDE,,43.6551103,6.9402461,,,0,STA-STP-0609,,
STP-0610,0610,LA MARIGARDE,,43.6552475,6.9402832,,,0,STA-STP-0610,,
STP-0611,0611,MARIQUITA,,43.681314,6.958709,,,0,STA-STP-0611,,
STP-0612,0612,MARIQUITA,,43.6813879,6.9586608,,,0,STA-STP-0612,,
STP-0613,0613,LES MARJOLAINES,,43.6654429,6.9252286,,,0,STA-STP-0613,,
STP-0614,0614,LES MARRONNIERS,,43.6480982,6.91183754,,,0,STA-STP-0614,,
STP-0615,0615,LES MARRONNIERS BAS,,43.6477073,6.914259,,,0,STA-STP-0615,,1
STP-0616,0616,LES MARRONNIERS BAS,,43.6477596,6.9133766,,,0,STA-STP-0616,,1
STP-0617,0617,MARTELLY,,43.6606645,6.9239683,,,0,STA-STP-0617,,
STP-0618,0618,MAS DES 2 VALLONS,,43.6252208,6.9148428,,,0,STA-STP-0618,,
STP-0619,0619,MAS DES 2 VALLONS,,43.6262937,6.9142726,,,0,STA-STP-0619,,
STP-0620,0620,LE MAUPAS,,43.6312509,6.8391126,,,0,STA-STP-0620,,
STP-0621,0621,LE MAUPAS,,43.6307093,6.8385529,,,0,STA-STP-0621,,
STP-0622,0622,MICHEL CHEVALIER,,43.62405592,6.93737335,,,0,STA-STP-0622,,
STP-0623,0623,MICHEL CHEVALIER,,43.62370883,6.93726613,,,0,STA-STP-0623,,
STP-0624,0624,LES MICOCOULIERS,,43.6486637,6.9368016,,,0,STA-STP-0624,,
STP-0625,0625,CHEMIN DES MIMOSAS,,43.6218035,6.8822517,,,0,STA-STP-0625,,
STP-0626,0626,MIMOSAS,,43.6200703,6.9498659,,,0,STA-STP-0626,,
STP-0627,0627,MIMOSAS,,43.6199793,6.9498121,,,0,STA-STP-0627,,
STP-0628,0628,LES MIMOSAS,,43.600214,6.9486138,,,0,STA-STP-0628,,
STP-0629,0629,VALLON DE SAINT PIERRE,,43.85728008,6.72087742,,,0,STA-STP-0629,,
STP-0630,0630,VALLON DE SAINT PIERRE,,43.85735949,6.72086041,,,0,STA-STP-0630,,
STP-0631,0631,MOLINARD,,43.65214716,6.92006073,,,0,STA-STP-0631,,
STP-0632,0632,LA MORE,,43.6504494,6.9488942,,,0,STA-STP-0632,,1
STP-0633,0633,LA MORE,,43.6498397,6.9498716,,,0,STA-STP-0633,,
STP-0634,0634,MOSSELLO,,43.6319491,6.8447046,,,0,STA-STP-0634,,1
STP-0635,0635,MOSSELLO,,43.6316019,6.8431282,,,0,STA-STP-0635,,
STP-0636,0636,MOUANS-SARTOUX CENTRE,,43.6189325,6.9716905,,,0,STA-STP-0636,,1
STP-0637,0637,MOUANS-SARTOUX CENTRE,,43.6190017,6.9718758,,,0,STA-STP-0637,,1
STP-0642,0642,LES MOULIERES,,43.6454201,6.8819082,,,0,STA-STP-0642,,
STP-0643,0643,CHEMIN DES BASTIDES,,43.6425079,6.9283929,,,0,STA-STP-0643,,
STP-0644,0644,CHEMIN DES BASTIDES,,43.6424468,6.9284737,,,0,STA-STP-0644,,
STP-0645,0645,MOULIN DE BRUN,,43.6532926,6.9453601,,,0,STA-STP-0645,,1
STP-0646,0646,MOULIN DE BRUN,,43.6540494,6.9438811,,,0,STA-STP-0646,,
STP-0649,0649,MOULIN VIEUX,,43.6077801,6.9156332,,,0,STA-STP-0649,,
STP-0650,0650,MOULIN VIEUX,,43.6076838,6.9155771,,,0,STA-STP-0650,,
STP-0651,0651,LES MOULINS,,43.6250487,6.8306744,,,0,STA-STP-0651,,
STP-0652,0652,LES MOULINS,,43.6251569,6.8306933,,,0,STA-STP-0652,,
STP-0655,0655,LES MURETS,,43.6326011,6.8702338,,,0,STA-STP-0655,,
STP-0656,0656,LES MURETS,,43.6326273,6.8700367,,,0,STA-STP-0656,,
STP-0660,0660,LE NAOUC,,43.6640498,6.885441,,,0,STA-STP-0660,,
STP-0661,0661,LE NAOUC,,43.6642802,6.8855205,,,0,STA-STP-0661,,
STP-0662,0662,LE NAOUC 2,,43.6635149,6.9005426,,,0,STA-STP-0662,,
STP-0663,0663,LE NAOUC 2,,43.6635656,6.9004249,,,0,STA-STP-0663,,
STP-0664,0664,ROUTE DE PEGOMAS,,43.638575,6.9336161,,,0,STA-STP-0664,,
STP-0665,0665,LA NARTASSIERE,,43.6117809,6.9593535,,,0,STA-STP-0665,,
STP-0667,0667,LE NEROLI,,43.6443687,6.9435271,,,0,STA-STP-0667,,1
STP-0668,0668,NOAILLES,,43.649127,6.907219,,,0,STA-STP-0668,,
STP-0669,0669,NOAILLES,,43.6491312,6.9074189,,,0,STA-STP-0669,,
STP-0670,0670,NOTRE DAME DE VALCLUSE,,43.614524,6.9212367,,,0,STA-STP-0670,,
STP-0671,0671,NOTRE DAME DE VALCLUSE,,43.615634,6.9210194,,,0,STA-STP-0671,,
STP-0676,0676,LES OLIVETTES,,43.6666551,6.9365864,,,0,STA-STP-0676,,
STP-0677,0677,LES OLIVIERS,,43.6552785,6.9072486,,,0,STA-STP-0677,,
STP-0678,0678,LES OLIVIERS,,43.6553815,6.9071703,,,0,STA-STP-0678,,
STP-0679,0679,LES OLIVIERS,,43.6659182,6.8893959,,,0,STA-STP-0679,,
STP-0680,0680,LES OLIVIERS,,43.6659077,6.889892,,,0,STA-STP-0680,,
STP-0681,0681,LES OLIVIERS,,43.639063,6.9496956,,,0,STA-STP-0681,,
STP-0682,0682,LES OLIVIERS,,43.6393801,6.9496814,,,0,STA-STP-0682,,
STP-0683,0683,LES OLIVIERS,,43.6646225,6.9486956,,,0,STA-STP-0683,,
STP-0684,0684,LES OLIVIERS,,43.664876,6.948449,,,0,STA-STP-0684,,
STP-0685,0685,LES OLIVIERS,,43.6285755,6.928642,,,0,STA-STP-0685,,1
STP-0686,0686,LES OLIVIERS,,43.628694,6.9286288,,,0,STA-STP-0686,,
STP-0687,0687,OSSOLA,,43.6576706,6.9254545,,,0,STA-STP-0687,,1
STP-0690,0690,PALAIS DE JUSTICE,,43.6566904,6.9289625,,,0,STA-STP-0690,,
STP-0691,0691,PALAIS DE JUSTICE,,43.6565627,6.9277431,,,0,STA-STP-0691,,
STP-0692,0692,PALAIS PROVENCAL,,43.6641037,6.9328831,,,0,STA-STP-0692,,
STP-0693,0693,PALAIS PROVENCAL,,43.6641582,6.9332563,,,0,STA-STP-0693,,
STP-0694,0694,LA PAOUTE,,43.6320154,6.9576482,,,0,STA-STP-0694,,
STP-0695,0695,LA PAOUTE,,43.6320178,6.9577682,,,0,STA-STP-0695,,1
STP-0700,0700,PARC INDUSTRIEL,,43.62720434,6.94061166,,,0,STA-STP-0700,,
STP-0701,0701,PARC INDUSTRIEL,,43.62739142,6.94081104,,,0,STA-STP-0701,,
STP-0703,0703,PETIT LION,,43.6661151,6.9399023,,,0,STA-STP-0703,,
STP-0704,0704,PETIT LION,,43.6661072,6.9397569,,,0,STA-STP-0704,,
STP-0705,0705,PETIT PARIS,,43.6506481,6.9189401,,,0,STA-STP-0705,,
STP-0706,0706,PETIT PARIS BAS,,43.6490145,6.9174525,,,0,STA-STP-0706,,1
STP-0707,0707,PETIT PARIS BAS,,43.6487074,6.9172082,,,0,STA-STP-0707,,1
