origin,destination,vehicule_type,origin_city,destination_city,station_lat,station_long,station_lat_dest,station_long_dest,distance_km,co2_kg,departure_time,arrival_time,source,provider
Gare de Guingamp,Gare de Brest,EuroNight,Gare de Guingamp,Gare de Brest,48.555661,-3.143343,48.3876203,-4.4803058,100.31662573459633,0.7963133750812257,16:43:00,17:55:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Guingamp,Gare de Rennes,Avion,Gare de Guingamp,Gare de Rennes,48.723882,-3.027055,48.0695,-1.73479,119.98575605117155,76.97508735739173,,,airports,OurAirports
Gare de Guingamp,Gare de Rennes,EuroNight,Gare de Guingamp,Gare de Rennes,48.555661,-3.143343,48.1035178,-1.6727439,119.77695411598873,0.9507894617727186,19:16:00,20:25:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Hennebont,Gare de Nantes,Avion,Gare de Hennebont,Gare de Nantes,47.760601,-3.44,47.153198,-1.61073,153.21527576279365,98.29299430590828,,,airports,OurAirports
Gare de Hennebont,Gare de Nantes,Train Longue Distance Nuit,Gare de Hennebont,Gare de Nantes,47.7991298,-3.2857957,47.2174913,-1.542077,146.06493016303,1.1594634156341321,06:19:00,08:16:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Hennebont,Gare de Rennes,Avion,Gare de Hennebont,Gare de Rennes,47.760601,-3.44,48.0695,-1.73479,131.63988826574874,84.45162352981112,,,airports,OurAirports
Gare de Hennebont,Gare de Rennes,EuroNight,Gare de Hennebont,Gare de Rennes,47.7991298,-3.2857957,48.1035178,-1.6727439,124.80485701421433,0.9907009549788334,11:23:00,12:56:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Hennebont,Gare de Savenay,Avion,Gare de Hennebont,Gare de Savenay,47.760601,-3.44,47.420833,-2.011944,113.55986501943998,72.85265199676722,,,airports,OurAirports
Gare de Hennebont,Gare de Savenay,Train Longue Distance Nuit,Gare de Hennebont,Gare de Savenay,47.7991298,-3.2857957,47.3586008,-1.951011,111.45977277722142,0.8847676763055837,06:19:00,07:52:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Ingrandes,Gare de Le Mans,Avion,Gare de Ingrandes,Gare de Le Mans,47.439444,-0.935833,47.948604,0.201702,102.2422344595435,65.59199348447531,,,airports,OurAirports
