trip_id,agency_name,route_name,train_type,service_type,origin_stop_name,origin_country,destination_stop_name,destination_country,departure_time,arrival_time,distance_km,duration_h,emission_gco2e_pkm,total_emission_kgco2e,source_dataset
MÁV IC 1204,MÁV-START Vasúti Személyszállító Zrt.,Adria,Train régional,International,Budapest Keleti,HU,Split,HR,18:53,08:56,784.0,14:03:00,17.092615894039735,13.4,Back-on-Track
MÁV IC 1205,MÁV-START Vasúti Személyszállító Zrt.,Adria,Train régional,International,Split,HU,Budapest Keleti,HR,18:28,09:12,784.0,14:44:00,17.092615894039735,13.4,Back-on-Track
MÁV/PKP EN 476,Opérateur non renseigné,IC 407 / EN 477 = EN 476,Train régional,International,Budapest Nyugati,PL,Warszawa Centralna,HU,19:29,08:51,902.0,13:22:00,17.092615894039735,15.42,Back-on-Track
MÁV/PKP IC 407 / EN 477,Opérateur non renseigné,IC 407 / EN 477 = EN 476,Train régional,International,Warszawa Wschodnia,PL,Budapest Nyugati,HU,19:37,08:29,902.0,12:52:00,17.092615894039735,15.42,Back-on-Track
MÁV/ÖBB EN 40462,Opérateur non renseigné,EN 40462 = EN 40467,Train régional,International,Budapest Keleti,AT,Zürich HB,HU,20:40,08:20,1083.0,11:40:00,17.092615894039735,18.51,Back-on-Track
MÁV/ÖBB EN 40467,Opérateur non renseigné,EN 40462 = EN 40467,Train régional,International,Zürich HB,AT,Budapest Keleti,HU,20:40,09:19,1083.0,12:39:00,17.092615894039735,18.51,Back-on-Track
MÁV/ÖBB EN 50237,Opérateur non renseigné,Kálman Imre,Train régional,International,Budapest Keleti,DE,Stuttgart Hbf,HU,20:40,08:38,966.0,11:58:00,17.092615894039735,16.51,Back-on-Track
MÁV/ÖBB EN 50462,Opérateur non renseigné,Kálman Imre,Train régional,International,Stuttgart Hbf,DE,Budapest Keleti,HU,20:29,09:19,966.0,12:50:00,17.092615894039735,16.51,Back-on-Track
OTE 141,Optima Tours,141 = 154,Train régional,International,Villach Hbf,AT,Edirne,TR,21:32,06:03,,32:31:00,17.092615894039735,,Back-on-Track
OTE 154,Optima Tours,141 = 154,Train régional,International,Edirne,AT,Villach Hbf,TR,18:30,08:11,,37:41:00,17.092615894039735,,Back-on-Track
PKP EN 443 / IC 406,PKP Intercity S.A.,Chopin,Train régional,International,Praha hl.n.,CZ,Warszawa Centralna,PL,22:13,08:51,,10:38:00,17.092615894039735,,Back-on-Track
PKP IC 38172,PKP Intercity S.A.,Przemyślanin,Train régional,National,Przemyśl Gł.,PL,Świnoujście,PL,18:40,10:40,,16:00:00,17.092615894039735,,Back-on-Track
PKP IC 38192,PKP Intercity S.A.,Podhalanin ,Train régional,National,Zakopane,PL,Szczecin Gł.,PL,19:47,07:23,760.0,11:36:00,34.34,26.1,Back-on-Track
PKP IC 407 / EN 442,PKP Intercity S.A.,Chopin,Train régional,International,Warszawa Wschodnia,CZ,Praha hl.n.,PL,19:37,07:38,,12:01:00,17.092615894039735,,Back-on-Track
PKP IC 83172,PKP Intercity S.A.,Przemyślanin,Train régional,National,Świnoujście,PL,Przemyśl Gł.,PL,16:59,09:18,,16:19:00,17.092615894039735,,Back-on-Track
PKP IC 83192,PKP Intercity S.A.,Podhalanin ,Train régional,National,Szczecin Gł.,PL,Zakopane,PL,21:30,09:27,760.0,11:57:00,34.34,26.1,Back-on-Track
PKP TLK 16190,PKP Intercity S.A.,Karkonosze,Train régional,National,Warszawa Wschodnia,PL,Jelenia Góra,PL,22:01,07:22,638.0,9:21:00,35.27,22.5,Back-on-Track
PKP TLK 18170,PKP Intercity S.A.,Uznam,Train régional,National,Warszawa Centralna,PL,Świnoujście,PL,22:07,07:11,,9:04:00,17.092615894039735,,Back-on-Track
PKP TLK 35170,PKP Intercity S.A.,Karpaty,Train régional,National,Zakopane,PL,Gdynia Gł.,PL,20:31,08:45,,12:14:00,17.092615894039735,,Back-on-Track
