route_id,agency_id,route_short_name,route_long_name,route_type
19-370-V-s24-1,1,370V,"Geretsried, Stein - Schulzentrum - Wolfratshausen",701
19-372-s24-1,1,372,Geretsried - Beuerberg - Eurasburg - Wolfratshausen,701
19-373-s24-1,1,373,Seeshaupt - Münsing - Wolfratshausen,701
19-373-V-s24-1,1,373V,Ammerland/Ambach - Münsing - Wolfratshausen,701
19-374-s24-1,1,374,Penzberg - Beuerberg - Königsdorf - Wolfratshausen,701
19-375-s24-1,1,375,Endlhausen - Egling - Wolfratshausen,701
19-375-V-s24-1,1,375V,"Neufahrn - Deining - Egling - Ascholding - Geretsried, Schulzentrum",701
19-376-s24-1,1,376,Bad Heilbrunn - Schönrain - Geretsried - Wolfratshausen,701
19-377-s24-1,1,377,Bad Tölz - Ascholding - Egling - Wolfratshausen,701
19-377-V-s24-1,1,377V,Egling  - Wolfratshausen - Geretsried,701
19-378-s24-1,1,378,"Geretsried, Stein - Am Stern - Johannisplatz - Lilienstr. (- Gelting) - Wolfratshausen",701
19-379-s24-2,1,379,Bad Tölz - Geretsried - Wolfratshausen,701
19-379-V-s24-1,1,379V,Wolfratshausen - Königsdorf - (Bad Tölz),701
19-381-s24-1,1,381,Deisenhofen Ost - Endlhausen - Dietramszell - Ascholding - Geretsried,701
19-381-s24-2,1,381,Deisenhofen Ost - Endlhausen - Dietramszell - Ascholding - Geretsried,701
19-381-V-s24-1,1,381V,"Dietramszell - Ascholding, Kirche - Geretsried, Schulzentrum",701
19-381-V-s24-2,1,381V,"Dietramszell - Ascholding, Kirche - Geretsried, Schulzentrum",701
19-396-1-s24-3,1,396,Bergbus München Ostbahnhof - Bayrischzell - Hinterthiersee,3
19-396-2-s24-3,1,396,Bergbus München Ostbahnhof - Bayrischzell - Hinterthiersee,3
19-440-s24-7,1,440,"Glonn - Moosach / Bruck - Grafing Bahnhof (- Grafing, Gymnasium/Ebersberg, Realschule)",701
19-442-s24-2,1,442,"Grafing Bahnhof - Ebersberg - Kirchseeon - Eglharting, Westring (- Buch)",701
19-443-s24-1,1,443,Steinhöring - Frauenneuharting - Tulling - Abersdorf - Steinhöring,701
19-444-s24-2,1,444,Grafing Bahnhof - Frauenneuharting - Aßling - Rott am Inn - Griesstätt,701
19-444-V-s24-3,1,444V,"Ebersberg, Realschule - Schalldorf / Moos - Emmering - Ostermünchen",701
19-445-s24-1,1,445,Ebersberg - Hohenlinden - Forstern - Erding Forstern - Erding,701
19-446-s24-3,1,446,(Poing Nord -) Markt Schwaben - Anzing - (Hohenlinden -) Ebersberg,701
19-446-V-s24-1,1,446V,Markt Schwaben - Forstinning / Anzing - Niederried,701
19-447-s24-1,1,447,"Aßling, Rathaus - Aßling - Oberelkofen - Grafing Bahnhof",701
19-448-s24-1,1,448,Grafing Bf - Grafing Öxinger Platz - Oberndorf - Ebersberg Gewerbegebiet Nord - Grafing Bf,701
19-451-s24-2,1,451,Vaterstetten - Sportzentrum - Baldham Nord - Karwendelplatz - Vaterstetten,701
19-452-s24-1,1,452,Vaterstetten - Baldham Dorf - Weißenfeld - Parsdorf - Grub Süd,701
19-453-s24-2,1,453,Glonn - Egmating - Oberpframmern - Putzbrunn - Neuperlach Süd,701
19-454-s24-4,1,454,Kirchseeon - Moosach - Glonn - Egmating - Höhenkirchen-Siegertsbrunn,701
